Category	Question	Answer	Frequency Level
General Information	האם מלון הרודס ויטאליס אילת מיועד למבוגרים בלבד (18+)?	כן, הכניסה מותרת לאורחים בני 18 ומעלה בלבד, כך שהמלון שומר על אווירה שקטה ואקסקלוסיבית למבוגרים.	High
General Information	כמה חדרים וסוויטות כולל מלון הרודס ויטאליס אילת?	המלון מונה 53 חדרים וסוויטות מעוצבים, כולם פונים לים ומיועדים לאירוח זוגי יוקרתי.	Medium
General Information	האם במלון הרודס ויטאליס אילת קיים Wi-Fi חופשי בכל המתחמים?	כן, אינטרנט Wi-Fi מהיר וללא תשלום זמין בכל שטחי המלון והחדרים.	High
General Information	האם דלפק הקבלה במלון הרודס ויטאליס אילת פעיל 24 שעות ביממה?	כן, קבלה מאוישת 24/7 מאפשרת צ’ק-אין, צ’ק-אאוט וסיוע רציף בכל עת.	Medium
General Information	האם מלון הרודס ויטאליס אילת מציע חניה ללא תשלום לאורחים?	כן, חניה עצמית ללא תשלום מוצעת לאורחי המלון במגרש הייעודי, בכפוף לזמינות מקומות.	High
General Information	האם מלון הרודס ויטאליס אילת מוגדר כמלון ללא עישון לחלוטין?	כן, המלון מוגדר אזור ללא-עישון מלא, כולל כל החדרים, המרפסות והבריכות.	High
General Information	האם צוות מלון הרודס ויטאליס אילת דובר שפות מרובות לשירות אורחים בינלאומיים?	כן, הצוות מדבר עברית, אנגלית, צרפתית, רוסית וערבית ומעניק שירות אדיב לאורחים מכל העולם.	Medium
General Information	האם במלון הרודס ויטאליס אילת פועל טרקלין VIP ייעודי לאורחים?	כן, טרקלין Vitalis פתוח מדי יום 10:00-23:00 ומגיש כיבוד גורמה, עיתונים ופינות ישיבה נינוחות.	Medium
General Information	האם שירות קונסיירז’ אישי זמין במלון הרודס ויטאליס אילת?	כן, קונסיירז’ אישי עומד לרשות האורחים ומטפל בהזמנות, הסעות וטיולים בהתאמה אישית.	Medium
Accommodation & Room Services	אילו סוגי חדרים וסוויטות זמינים להזמנה במלון הרודס ויטאליס אילת?	המלון מציע Executive Room, Executive Suite, Rain Suite וסוויטת Presidential, כולן מרווחות ומאובזרות.	High
Accommodation & Room Services	האם בכל חדר במלון הרודס ויטאליס אילת יש מרפסת המשקיפה למפרץ אילת?	כן, כל יחידות האירוח כוללות מרפסת פרטית עם נוף ישיר למפרץ האדום.	Medium
Accommodation & Room Services	האם סוויטות מלון הרודס ויטאליס אילת כוללות ג’קוזי פרטי?	כן, סוויטות Rain, Executive ו-Presidential מצוידות באמבט ג’קוזי פנימי מפנק.	Medium
Accommodation & Room Services	האם בכל חדר במלון הרודס ויטאליס אילת קיימים מיני־בר וערכת קפה/תה?	כן, בכל חדר מחכים מיני-בר מצויד וקומקום להכנת קפה ותה ללא תשלום.	High
Accommodation & Room Services	האם חדרי מלון הרודס ויטאליס אילת מצוידים במיזוג אוויר וחיבור Wi-Fi מהיר?	כן, החדרים ממוזגים לחלוטין וכוללים חיבור Wi-Fi מהיר ללא תשלום נוסף.	High
Accommodation & Room Services	האם ניתן להזמין שירות חדרים 24/7 במלון הרודס ויטאליס אילת?	כן, שירות חדרים זמין מסביב לשעון ומספק תפריט גורמה ישירות לסוויטה.	Medium
Accommodation & Room Services	האם מלון הרודס ויטאליס אילת מספק חלוקים, נעלי ספא ומוצרי טיפוח ללא תשלום?	כן, בכל חדר ממתינים חלוקים רכים, נעלי ספא ומוצרי טיפוח יוקרתיים לשימוש חופשי.	Medium
Accommodation & Room Services	האם ניתן לקבל מגהץ ולוח גיהוץ על פי בקשה במלון הרודס ויטאליס אילת?	כן, מגהץ ולוח גיהוץ זמינים לפי דרישה באמצעות מחלקת הקונסיירז’.	Low
Food & Beverage	האם האירוח במלון הרודס ויטאליס אילת מבוסס חצי-פנסיון (ארוחת בוקר וערב)?	כן, המחיר כולל חצי-פנסיון עם ארוחת בוקר VIP וארוחת ערב גורמה במסעדת לורנס.	High
Food & Beverage	מהן שעות ההגשה של ארוחת הבוקר במלון הרודס ויטאליס אילת?	ארוחת הבוקר מוגשת מדי יום בין 07:30-10:30 במסעדת לורנס המעודנת.	Medium
Food & Beverage	האם מסעדת “לורנס” במלון הרודס ויטאליס אילת כשרה תחת פיקוח רבנות אילת?	כן, המסעדה כשרה תחת השגחת רבנות אילת 24 שעות ביממה.	High
Food & Beverage	האם מלון הרודס ויטאליס אילת מציע מנות ללא גלוטן, טבעוניות או צמחוניות בהזמנה מראש?	כן, בבקשה מוקדמת המטבח ישמח להכין מנות ללא גלוטן, טבעוניות או צמחוניות. [VERIFY]	Medium
Food & Beverage	האם טרקלין “לורנס” במלון הרודס ויטאליס אילת פתוח לאורחים בין השעות 10:00-23:00?	כן, טרקלין Vitalis מקבל אורחים מדי יום בין 10:00-23:00 עם מבחר נשנושים ומשקאות.	Medium
Food & Beverage	האם קיים בר יין ייעודי במלון הרודס ויטאליס אילת?	כן, בר-יין אלגנטי מציע מבחר יינות מובחרים וספיריטים לאוהבי תרבות היין.	Low
