Category	Question	Answer	Frequency Level
General Information	Does Leonardo Hotel Antwerpen provide complimentary high-speed Wi-Fi throughout the property?	Yes, complimentary high-speed Wi-Fi is provided free of charge in all rooms, suites, and public areas.	High
General Information	Is the reception desk at Leonardo Hotel Antwerpen staffed 24 hours a day?	Yes, the front desk is staffed around the clock to assist guests 24 hours a day.	High
General Information	What is the official check-in time at Leonardo Hotel Antwerpen?	The official check-in time begins at 3:00 pm on the arrival date.	High
General Information	What is the standard check-out time at Leonardo Hotel Antwerpen?	Standard check-out time is by 12:00 noon on the day of departure.	High
General Information	Is Leonardo Hotel Antwerpen a completely non-smoking hotel?	Yes, the property is entirely non-smoking, with no smoking permitted in any guest areas.	Medium
General Information	How many guest rooms and suites does Leonardo Hotel Antwerpen offer?	There are 108 contemporary guest rooms and suites available across five floors.	Medium
General Information	Does Leonardo Hotel Antwerpen have multilingual team members available to assist international guests?	Yes, multilingual team members speak Dutch, English, French, Spanish and additional languages to welcome international travellers.	Medium
General Information	Is an elevator available to reach all guest floors at Leonardo Hotel Antwerpen?	Yes, a modern elevator provides access to all guest floors and public areas.	Medium
General Information	What is the official star rating of Leonardo Hotel Antwerpen?	The hotel holds an official four-star rating under the Hotelstars Union classification.	Low
Accommodation & Room Services	Do all rooms at Leonardo Hotel Antwerpen feature individual air-conditioning and heating controls?	Yes, every accommodation features individual air-conditioning and heating controls for personalised comfort.	High
Accommodation & Room Services	Are tea- and coffee-making facilities provided in every room at Leonardo Hotel Antwerpen?	Yes, complimentary in-room tea- and coffee-making facilities are provided in all categories.	High
Accommodation & Room Services	Does Leonardo Hotel Antwerpen supply a minibar or small refrigerator in its guest rooms?	Yes, each room is equipped with a minibar-style refrigerator for drinks and snacks.	High
Accommodation & Room Services	Are complimentary toiletries and a rainfall shower available in the bathrooms at Leonardo Hotel Antwerpen?	Yes, bathrooms offer free toiletries and feature invigorating rainfall showerheads.	Medium
Accommodation & Room Services	Is hypo-allergenic bedding or a selection of extra pillows available on request at Leonardo Hotel Antwerpen?	Yes, hypo-allergenic bedding is fitted, and extra pillows are available on request at no additional charge.	Medium
Accommodation & Room Services	Can guests reserve a baby cot at Leonardo Hotel Antwerpen, and is a surcharge applied?	Yes, baby cots can be reserved in advance for a €10 surcharge per stay.	Medium
Accommodation & Room Services	Does Leonardo Hotel Antwerpen offer 24-hour room service for light meals and beverages?	No, only late-night room service is available; full 24-hour dining is not currently offered.	Medium
Accommodation & Room Services	Are laundry and dry-cleaning services available through Leonardo Hotel Antwerpen?	Yes, same-day laundry and professional dry-cleaning services can be arranged through reception.	Medium
Accommodation & Room Services	Are the guest rooms at Leonardo Hotel Antwerpen sound-proofed for enhanced sleeping comfort?	Yes, double-glazed, sound-proofed rooms enhance sleeping comfort even near the station.	Low
Food & Beverage	Does Leonardo Hotel Antwerpen serve a daily breakfast buffet?	Yes, a generous hot and cold breakfast buffet is served every morning.	High
Food & Beverage	What are the weekday breakfast hours at Leonardo Hotel Antwerpen?	On weekdays breakfast is available from 7:00 am until 10:00 am each morning.	High
Food & Beverage	What are the weekend breakfast hours at Leonardo Hotel Antwerpen?	At weekends breakfast is offered from 7:30 am until 10:30 am for residents.	High
Food & Beverage	Does the breakfast buffet at Leonardo Hotel Antwerpen include vegetarian or vegan options?	Yes, the buffet always includes vegetarian dishes and can provide vegan options on request.	Medium
Food & Beverage	Is the hotel bar at Leonardo Hotel Antwerpen open 24 hours a day?	Yes, the stylish lobby bar remains open 24 hours a day for drinks and light bites.	High
Food & Beverage	Does Leonardo Hotel Antwerpen offer a curated selection of Belgian beers in its bar?	Yes, guests may sample a curated selection of renowned Belgian beers at the bar.	Medium
Food & Beverage	Are Grab’n’Go snacks available at Leonardo Hotel Antwerpen throughout the day?	Yes, convenient Grab’n’Go snacks and beverages are stocked throughout the day in the lobby.	Medium
Food & Beverage	Can non-resident visitors enjoy drinks at the bar inside Leonardo Hotel Antwerpen?	Yes, non-resident visitors are welcome to enjoy drinks in the bar’s relaxed setting. [VERIFY]	Low
Food & Beverage	Is late-night room service for food and beverages available at Leonardo Hotel Antwerpen?	Yes, guests can order food and beverages to their room during late-night hours.	Medium
Policies & Terms	What is the minimum age requirement for check-in at Leonardo Hotel Antwerpen?	The minimum age to check-in is 18 years, with valid photo identification required.	High
Policies & Terms	Does Leonardo Hotel Antwerpen offer express check-in and express check-out services?	Yes, streamlined express check-in and express check-out services are available on request.	Medium
Policies & Terms	Are pets allowed to stay at Leonardo Hotel Antwerpen?	No, pets are not allowed to stay at the hotel.	High
Policies & Terms	Are certified service animals accepted at Leonardo Hotel Antwerpen?	Yes, accredited service animals are accepted without additional fees or restrictions.	Medium
Policies & Terms	What security or breakage deposit does Leonardo Hotel Antwerpen require at check-in?	A refundable breakage deposit of €50 per stay is collected at check-in.	Low
Policies & Terms	Does Leonardo Hotel Antwerpen provide complimentary baggage storage before check-in or after check-out?	Yes, complimentary secure baggage storage is offered before check-in and after check-out.	Medium
Policies & Terms	What is the nightly city tax payable at Leonardo Hotel Antwerpen?	A municipal city tax of €2.97 per person per night is payable locally.	Low
Policies & Terms	Does Leonardo Hotel Antwerpen allow free cancellation on standard reservations?	Free cancellation is offered on flexible rates; terms vary by chosen rate plan. [VERIFY]	Medium
Policies & Terms	What is the policy on extra beds or rollaway beds at Leonardo Hotel Antwerpen?	Extra beds are available at €25 per night and are subject to availability.	Low
Policies & Terms	Which payment methods are accepted at Leonardo Hotel Antwerpen upon arrival?	Accepted payment methods include American Express, Visa, Mastercard, Maestro, major debit cards and cash in euros.	Low
Location & Transportation	Where is Leonardo Hotel Antwerpen located in relation to Antwerp Central Station?	The hotel sits directly opposite Antwerp Central Station, less than two minutes’ walk away.	High
Location & Transportation	How far is Antwerp Zoo from Leonardo Hotel Antwerpen?	Antwerp Zoo is approximately 100 metres from the entrance, just across the square.	High
Location & Transportation	Does Leonardo Hotel Antwerpen provide a private airport shuttle service?	Yes, private airport shuttle transfers can be arranged in advance for an additional fee.	Medium
Location & Transportation	Which airport is closest to Leonardo Hotel Antwerpen, and what is the approximate travel time?	Brussels Airport is the nearest major airport, about 45 km away, or 35-40 minutes by car.	Medium
Location & Transportation	Is on-site parking available at Leonardo Hotel Antwerpen and what is the daily fee?	Yes, limited on-site underground parking is offered at €21 per vehicle per day.	High
Location & Transportation	What is the maximum vehicle height permitted in the underground car park at Leonardo Hotel Antwerpen?	The underground car park accepts vehicles up to a maximum height of 1.85 metres.	Low
Location & Transportation	Do guests need a temporary city parking permit when arriving by car at Leonardo Hotel Antwerpen?	Yes, drivers of non-Belgian vehicles must obtain a temporary Antwerp city parking permit before arrival.	Low
Location & Transportation	Which tram or metro stations are within a short walk of Leonardo Hotel Antwerpen?	Nearby Premetro stations Astrid and Diamant are reached on foot within three minutes. [VERIFY]	Low
Location & Transportation	Can the team at Leonardo Hotel Antwerpen arrange taxi or private car-hire services for guests?	Yes, the front-desk team will gladly organise taxis or private car-hire services upon request. [VERIFY]	Low
Activities & Entertainment	Does Leonardo Hotel Antwerpen feature a fully equipped fitness centre for guests?	Yes, an airy fitness centre with modern cardio and strength equipment is open daily for guests.	High
Activities & Entertainment	Is bicycle rental available at Leonardo Hotel Antwerpen for exploring the city?	Yes, bicycles can be rented directly at reception for convenient city exploration.	Medium
Activities & Entertainment	Does Leonardo Hotel Antwerpen provide an outdoor terrace where guests can unwind with a drink?	Yes, guests may relax with a drink on the pleasant outdoor terrace adjoining the lounge.	Medium
Activities & Entertainment	Are romance or celebration packages available for special occasions at Leonardo Hotel Antwerpen?	Yes, special romance and celebration packages, including proposal amenities, can be arranged with advance notice.	Low
Activities & Entertainment	Does Leonardo Hotel Antwerpen organise guided tours of Antwerp’s Diamond District or historic centre?	Guided walking tours of the Diamond District and historic centre can be booked through the concierge. [VERIFY]	Low
Activities & Entertainment	Can guests purchase attraction tickets directly through Leonardo Hotel Antwerpen’s concierge team?	Yes, attraction tickets and local passes may be purchased directly at reception for added convenience. [VERIFY]	Low
