Category	Question	Answer	Frequency Level
General Information	האם במלון הרודס ים המלח קיימת רשת Wi-Fi אלחוטית חינמית לגלישה ללא הגבלה?	כן, גלישה אלחוטית חינמית ובלתי מוגבלת זמינה בכל החדרים והשטחים הציבוריים.	High
General Information	האם דלפק הקבלה במלון הרודס ים המלח מאויש 24 שעות ביממה?	כן, דלפק הקבלה מאויש 24 שעות ביממה ומעניק סיוע בכל עת.	High
General Information	כמה חדרים וסוויטות מונה מלון הרודס ים המלח?	במלון 223 חדרים וסוויטות מסוגים שונים.	Low
General Information	האם מלון הרודס ים המלח ידידותי למשפחות עם ילדים, כולל מתקנים ייעודיים?	כן, קיימים מועדון ילדים, בריכת ילדים, שירות Welcome Baby ופעילויות יומיות לכל המשפחה.	High
General Information	האם מלון הרודס ים המלח מותאם לאורחים עם מוגבלויות ומציע חדרים נגישים?	כן, המלון מציע חניות נגישות, מעליות, מתקני בריכה עם מעלון וחדרים נגישים הזמינים לפי דרישה.	Medium
General Information	אילו שפות מדבר צוות השירות במלון הרודס ים המלח?	הצוות דובר עברית, אנגלית ורוסית לשירות מיטבי של אורחים מרחבי העולם.	Low
General Information	האם מלון הרודס ים המלח כולל טרקלין עסקים לשימוש אורחי VIP?	כן, טרקלין עסקים אלגנטי עומד לרשות אורחי VIP ומציע משקאות, כיבוד ועמדות עבודה שקטות.	Medium
General Information	האם למלון הרודס ים המלח חוף ים פרטי השמור לאורחי המלון בלבד?	כן, לאורחים שמור חוף פרטי מטופח עם שמשיות, מיטות שיזוף ומקלחות.	High
General Information	האם במלון הרודס ים המלח מוצעים שירותי שיחות בינלאומיות חינם מן החדרים?	כן, ניתן לבצע מהחדר שיחות בינלאומיות חינם לאורך כל השהייה.	Low
Accommodation & Room Services	האם כל חדרי מלון הרודס ים המלח מצוידים במיני-בר או מקרר קטן?	כן, בכל חדר מותקן מיני־בר או מקרר קטן לאחסון משקאות וחטיפים.	High
Accommodation & Room Services	האם בחדרי מלון הרודס ים המלח קיים קומקום חשמלי להכנת תה וקפה?	כן, קומקום חשמלי וערכת קפה־תה מוצעים כסטנדרט בכל החדרים.	Medium
Accommodation & Room Services	האם ניתן להזמין שירות חדרים במלון הרודס ים המלח לאורך 24 שעות ביממה?	כן, שירות חדרים פועל סביב השעון ומגיש תפריט חם וקר 24/7.	High
Accommodation & Room Services	האם חדרי מלון הרודס ים המלח כוללים כספת אישית לשמירת חפצים יקרים?	כן, בכל חדר מותקנת כספת אלקטרונית אישית ללא תשלום.	Medium
Accommodation & Room Services	האם ניתן לקבל כריות היפו-אלרגניות או תפריט כריות במלון הרודס ים המלח?	כן, תפריט כריות עשיר כולל אפשרות לכריות היפו-אלרגניות בהזמנה מראש.	Low
Accommodation & Room Services	האם מלון הרודס ים המלח מספק עריסות לתינוקות, ומהי העלות ללילה?	כן, עריסת תינוק זמינה על-פי בקשה בעלות ‎₪55 ללילה לילד עד גיל שנתיים.	High
Accommodation & Room Services	האם בחדרי מלון הרודס ים המלח זמינים מייבשי שיער ומוצרי טואלטיקה יוקרתיים ללא תשלום?	כן, בכל חדרי הרחצה מייבש שיער ומוצרי טואלטיקה איכותיים ללא חיוב.	Medium
Accommodation & Room Services	האם מוצעים שירותי כביסה, ניקוי יבש וגיהוץ במלון הרודס ים המלח?	כן, שירותי כביסה, ניקוי יבש וגיהוץ זמינים בתוספת תשלום ומבוצעים במהירות.	Medium
Accommodation & Room Services	האם במלון הרודס ים המלח קיימים חדרים מותאמים לאורחים עם נכות פיזית?	כן, מספר חדרים מותאמים לנכים עם דלתות רחבות וחדרי רחצה נגישים, בכפוף לזמינות.	Medium
