Category	Question	Answer	Frequency Level
General Information	Does Leonardo Inn Hotel Glasgow West End offer free Wi-Fi access throughout the property?	Yes, complimentary Wi-Fi is available throughout all guest rooms and public areas.	High
General Information	What are the normal check-in and check-out times?	Check-in starts at 3:00 pm, and check-out is until 11:00 am, subject to availability.	High
General Information	Does Leonardo Inn Hotel Glasgow West End provide a 24-hour front desk service?	Yes, the front desk operates 24 hours a day, ensuring help whenever guests arrive.	High
General Information	Can large families comfortably book and stay at Leonardo Inn Hotel Glasgow West End?	Yes, larger families are welcome, and multiple-room or family-friendly options can be arranged.	Medium
General Information	Does Leonardo Inn Hotel Glasgow West End have multilingual staff for international guests?	Yes, staff members speak various languages to assist international travelers.	Medium
General Information	Is there on-site parking available at Leonardo Inn Hotel Glasgow West End?	Yes, limited on-site parking is offered for a daily fee and is subject to availability.	High
General Information	Does Leonardo Inn Hotel Glasgow West End have meeting or conference rooms for business events?	Yes, meeting spaces are available for corporate and private events upon request.	Medium
General Information	Does Leonardo Inn Hotel Glasgow West End offer accessible facilities for guests with disabilities?	Yes, the hotel offers accessible rooms, step-free access, and other amenities for guests with special requirements.	Medium
Accommodation & Room Services	Are the rooms at Leonardo Inn Hotel Glasgow West End equipped with air conditioning and heating?	Yes, each room features climate control with both air conditioning and heating.	High
Accommodation & Room Services	Does Leonardo Inn Hotel Glasgow West End provide tea- and coffee-making facilities in every room?	Yes, every room is furnished with complimentary tea- and coffee-making facilities.	High
Accommodation & Room Services	Is a small fridge or minibar available in the rooms?	Currently, only selected room types include a mini-fridge. Please contact the reception for details. [VERIFY].	Medium
Accommodation & Room Services	Can guests request extra pillows or hypoallergenic bedding at Leonardo Inn Hotel Glasgow West End?	Yes, the hotel can provide extra pillows and hypoallergenic bedding upon request.	Medium
Accommodation & Room Services	Does Leonardo Inn Hotel Glasgow West End offer 24-hour room service?	Yes, 24-hour room service is provided, with a limited overnight menu available.	High
Accommodation & Room Services	Are laundry and dry-cleaning services available for guests staying at Leonardo Inn Hotel Glasgow West End?	Yes, laundry and dry-cleaning services are offered for an additional fee.	Medium
Accommodation & Room Services	Can guests request an iron and ironing board at Leonardo Inn Hotel Glasgow West End?	Yes, irons and ironing boards are available on request from the front desk.	Medium
Accommodation & Room Services	Do rooms at Leonardo Inn Hotel Glasgow West End come with complimentary toiletries?	Yes, all rooms include essential toiletries for guests’ convenience.	High
Food & Beverage	Does Leonardo Inn Hotel Glasgow West End provide a buffet breakfast, and what are the usual serving hours?	Yes, a buffet breakfast is served daily, typically from 7:00 am to 10:00 am on weekdays, with extended hours on weekends.	High
Food & Beverage	Are vegetarian and vegan breakfast options available at Leonardo Inn Hotel Glasgow West End?	Yes, vegetarian and vegan dishes can be prepared upon request.	High
Food & Beverage	Does Leonardo Inn Hotel Glasgow West End offer a rooftop bar with panoramic views of Glasgow’s West End?	No, a rooftop bar is not available, but guests can enjoy drinks in our on-site bar and lounge.	Medium
Food & Beverage	Are children allowed in the hotel's bar area in the late evenings?	Yes, children are permitted in the bar area until the local licensing rules require adult-only service.	Medium
Food & Beverage	Does Leonardo Inn Hotel Glasgow West End cater to gluten-free dietary requirements?	Yes, gluten-free menu items can be arranged on request.	Medium
Food & Beverage	Can non-residents dine at the restaurant in Leonardo Inn Hotel Glasgow West End?	Yes, visitors are welcome to dine, though booking in advance is recommended.	Medium
Food & Beverage	Does Leonardo Inn Hotel Glasgow West End offer an afternoon tea service?	Information currently not available – please contact the hotel for details. [VERIFY].	Low
Food & Beverage	Is 24-hour snack service available through room service at Leonardo Inn Hotel Glasgow West End?	Yes, a limited snack menu is offered round the clock for in-room dining. [VERIFY].	Medium
Policies & Terms	Does Leonardo Inn Hotel Glasgow West End allow pets on its premises?	No, pets are not allowed, except for service animals. [VERIFY].	Medium
Policies & Terms	What is the smoking policy at Leonardo Inn Hotel Glasgow West End?	It is a non-smoking property, and smoking is prohibited in all indoor areas.	High
Policies & Terms	Can guests request an early check-in or a late check-out at Leonardo Inn Hotel Glasgow West End?	Yes, early check-in and late check-out may be possible depending on availability.	High
Policies & Terms	Is there a minimum age requirement for check-in?	Yes, guests must be at least 18 years old with valid identification. [VERIFY].	Medium
Policies & Terms	Does Leonardo Inn Hotel Glasgow West End require a security deposit or pre-authorization at check-in?	Yes, a credit card pre-authorization or deposit may be requested upon arrival.	Medium
Policies & Terms	What is the free cancellation policy at Leonardo Inn Hotel Glasgow West End?	Free cancellation terms vary by booking type; generally, cancellations are free up to 24 hours before arrival. [VERIFY].	High
Policies & Terms	Does Leonardo Inn Hotel Glasgow West End provide baggage storage before check-in or after check-out?	Yes, secure baggage storage is available at the front desk for guests who arrive early or depart late.	High
Policies & Terms	Do group bookings at Leonardo Inn Hotel Glasgow West End follow special conditions?	Yes, group reservations may require different terms and conditions, including deposit and cancellation policies.	Low
Location & Transportation	How far is Leonardo Inn Hotel Glasgow West End from the city center of Glasgow?	It is roughly 2 miles from the city center, about a 10- to 15-minute drive depending on traffic.	High
Location & Transportation	Is Leonardo Inn Hotel Glasgow West End close to the University of Glasgow and Kelvingrove Art Gallery?	Yes, both the University of Glasgow and Kelvingrove Art Gallery are within a short distance in the West End.	Medium
Location & Transportation	Does Leonardo Inn Hotel Glasgow West End provide an airport shuttle service?	No, the hotel does not operate a dedicated shuttle, but the front desk can arrange taxi or public transport information.	High
Location & Transportation	Which train or subway stations are nearest to Leonardo Inn Hotel Glasgow West End?	Nearby, Hyndland Train Station and Partick Subway Station offer convenient access to central Glasgow.	Medium
Location & Transportation	How can guests easily reach the Glasgow Botanic Gardens from Leonardo Inn Hotel Glasgow West End?	Guests can reach the Botanic Gardens by taking a short bus ride or walking for around 15 minutes in the West End.	Medium
Location & Transportation	Is it within walking distance?	Yes, the Botanic Gardens are within a comfortable walking distance of about 15 minutes.	Low
