General Information	What is the official check-in time at Leonardo Hotel Torremolinos Costa del Sol?	Official check-in begins at 15:00 (3:00 pm) and is handled by the 24-hour reception team.	High
General Information	What is the official check-out time at Leonardo Hotel Torremolinos Costa del Sol?	Check-out must be completed by 11:00 am to allow housekeeping to prepare rooms for arriving guests.	High
General Information	Does Leonardo Hotel Torremolinos Costa del Sol provide free Wi-Fi throughout the property?	Yes, unlimited high-speed Wi-Fi is provided free of charge in all guestrooms and public areas.	High
General Information	Does Leonardo Hotel Torremolinos Costa del Sol operate a 24-hour front desk?	Yes, reception is staffed around the clock so guests can arrive or request assistance at any hour.	High
General Information	Does Leonardo Hotel Torremolinos Costa del Sol have on-site parking and what is the daily cost?	The hotel offers secure underground parking on site; spaces cost €15 per car, per day.	High
General Information	Is Leonardo Hotel Torremolinos Costa del Sol a fully non-smoking hotel?	Yes, the hotel is designated non-smoking; all indoor areas and rooms are smoke-free for guest comfort.	Medium
General Information	Does Leonardo Hotel Torremolinos Costa del Sol offer meeting and event facilities?	Yes, several flexible meeting rooms are available for conferences, banquets and private celebrations.	Medium
General Information	Is Leonardo Hotel Torremolinos Costa del Sol accessible for guests with reduced mobility?	The property is described as disabled-friendly, with step-free access, lifts and adapted rooms on request.	Medium
Accommodation & Room Services	Which room categories are available at Leonardo Hotel Torremolinos Costa del Sol?	Categories include Comfort, Superior Side Sea View, Deluxe Sea View, Deluxe Sea View Triple, Superior Side Sea View Triple and Family Rooms, all spread across nine floors.	High
Accommodation & Room Services	Do the rooms at Leonardo Hotel Torremolinos Costa del Sol include a private balcony or terrace?	Yes, every guestroom features a furnished balcony or terrace, many offering partial or full sea views.	Medium
Accommodation & Room Services	Are the guestrooms at Leonardo Hotel Torremolinos Costa del Sol equipped with air-conditioning and heating?	Yes, all 398 rooms have individually controlled air-conditioning and heating for year-round comfort.	High
Accommodation & Room Services	Does every room at Leonardo Hotel Torremolinos Costa del Sol feature free Wi-Fi and a flat-screen TV?	Yes, free Wi-Fi and a satellite flat-screen television are standard amenities in every room category.	Medium
Accommodation & Room Services	Are baby cots available on request at Leonardo Hotel Torremolinos Costa del Sol?	No, the property does not provide infant cots or roll-away beds for guestrooms.	Medium
Accommodation & Room Services	Does Leonardo Hotel Torremolinos Costa del Sol provide daily housekeeping service?	Yes, rooms are serviced daily, with beds made, towels replaced and bathrooms cleaned each day.	Medium
Accommodation & Room Services	Is there a laundry or dry-cleaning service at Leonardo Hotel Torremolinos Costa del Sol?	Yes, same-day laundry and dry-cleaning services can be arranged through reception for an extra fee.	Medium
Accommodation & Room Services	Are in-room safes provided at Leonardo Hotel Torremolinos Costa del Sol?	Yes, each room contains a personal safe; a small daily charge may apply for activation.	Medium
Food & Beverage	Does Leonardo Hotel Torremolinos Costa del Sol serve a daily buffet breakfast?	Yes, a generous buffet breakfast is served every morning in the main restaurant.	High
Food & Beverage	What are the breakfast hours at Leonardo Hotel Torremolinos Costa del Sol?	Breakfast is available from 07:30 until 10:00 daily.	High
Food & Beverage	What is the price of breakfast at Leonardo Hotel Torremolinos Costa del Sol?	The buffet costs €15 per adult and €7.50 per child when not included in the room rate.	High
Food & Beverage	Does Leonardo Hotel Torremolinos Costa del Sol cater for vegetarian, vegan or gluten-free diets?	Yes, the buffet offers clearly labelled vegetarian, vegan and gluten-free options at every meal.	Medium
Food & Beverage	Does Leonardo Hotel Torremolinos Costa del Sol have an on-site restaurant for lunch and dinner?	Yes, the main Buffet Restaurant serves Mediterranean and international dishes for lunch and dinner.	High
Food & Beverage	How many bars does Leonardo Hotel Torremolinos Costa del Sol operate and where are they located?	The hotel operates four bars: a lobby bar, pool bar, snack bar beside the garden pool and the Skyline Bar on the rooftop terrace.	Medium
Food & Beverage	Does Leonardo Hotel Torremolinos Costa del Sol provide room service?	Yes, room service is available for drinks and light meals during specified hours.	Medium
Food & Beverage	Are all-inclusive meal plans available at Leonardo Hotel Torremolinos Costa del Sol?	Yes, optional all-inclusive rate plans cover buffet meals, snacks and selected beverages throughout the day.	Medium
Policies & Terms	What is the minimum age required to check in at Leonardo Hotel Torremolinos Costa del Sol?	The minimum legal age for check-in is 18 years when presenting valid photo identification.	Medium
Policies & Terms	What is the standard cancellation policy at Leonardo Hotel Torremolinos Costa del Sol?	Cancellation terms depend on the rate booked; flexible rates are free to cancel up to 24–48 hours before arrival, while non-refundable rates incur the full stay charge. [VERIFY]	High
Policies & Terms	Does Leonardo Hotel Torremolinos Costa del Sol allow pets?	No, pets are not permitted to stay at the hotel, with the exception of certified assistance dogs.	Medium
Policies & Terms	Can guests request early check-in or late check-out at Leonardo Hotel Torremolinos Costa del Sol?	Early check-in or late check-out can be requested and is granted subject to the day’s availability and possible fees.	High
Policies & Terms	Does Leonardo Hotel Torremolinos Costa del Sol offer luggage storage before check-in or after check-out?	Yes, complimentary luggage storage is provided so guests can explore freely outside room hours.	Medium
Policies & Terms	Does Leonardo Hotel Torremolinos Costa del Sol have any designated smoking areas?	Yes, although rooms are non-smoking, there are clearly marked outdoor areas where smoking is allowed.	Medium
Policies & Terms	Are group bookings accepted at Leonardo Hotel Torremolinos Costa del Sol and whom should organisers contact?	Group reservations are welcome; organisers should contact the hotel’s Meetings & Events team via the dedicated enquiry form or by telephone.	Medium
Policies & Terms	Which payment methods are accepted at Leonardo Hotel Torremolinos Costa del Sol?	The hotel only accepts major credit cards, including Visa, Mastercard and American Express; cash payments are not accepted at reception.	Medium
Location & Transportation	How far is Leonardo Hotel Torremolinos Costa del Sol from Bajondillo Beach?	Bajondillo Beach is roughly 400 metres away, an easy five-to-seven minute walk downhill.	High
Location & Transportation	How far is Leonardo Hotel Torremolinos Costa del Sol from Málaga-Costa del Sol Airport?	The airport is about 8 km from the hotel, a 15–20 minute journey by car or taxi.	High
