Category	Question	Answer	Frequency Level
General Information	1. Does Leonardo Hotel Vienna Schönbrunn provide complimentary high-speed Wi-Fi throughout the entire property?	Yes, unlimited high-speed Wi-Fi is provided free of charge in all guest rooms and public areas.	High
General Information	2. Is the front desk at Leonardo Hotel Vienna Schönbrunn staffed 24 hours a day?	Yes, the reception operates around the clock, ensuring assistance is available at any hour.	High
General Information	3. How many guest rooms are available at Leonardo Hotel Vienna Schönbrunn?	The property comprises 283 contemporary guest rooms and suites.	Medium
General Information	4. Does Leonardo Hotel Vienna Schönbrunn employ multilingual staff to assist international guests?	Yes, the hotel’s multilingual team speaks several major languages, offering seamless assistance to international travellers.	Medium
General Information	5. Is Leonardo Hotel Vienna Schönbrunn a completely non-smoking hotel?	Yes, the entire hotel is designated non-smoking, including all rooms and public areas.	Medium
General Information	6. Are all public areas at Leonardo Hotel Vienna Schönbrunn fully air-conditioned?	Yes, all interior public spaces are climate-controlled for year-round comfort.	Low
General Information	7. Does Leonardo Hotel Vienna Schönbrunn offer dedicated meeting and conference facilities on-site?	Yes, two fully equipped meeting rooms are available for business events and gatherings.	High
General Information	8. What is the maximum seating capacity of the largest meeting room at Leonardo Hotel Vienna Schönbrunn?	The larger meeting room accommodates up to 35 delegates in theatre style.	Low
General Information	9. Is Leonardo Hotel Vienna Schönbrunn certified under any recognised sustainability or environmental programme?	Yes, the hotel holds the internationally recognised Green Key sustainability certification.	Low
Accommodation & Room Services	1. Do all rooms at Leonardo Hotel Vienna Schönbrunn feature a mini-fridge as standard?	Yes, every guest room includes a private mini-fridge for refreshments.	High
Accommodation & Room Services	2. Are tea- and coffee-making facilities provided in every room at Leonardo Hotel Vienna Schönbrunn?	No, in-room tea and coffee equipment is not standard in all categories; guests may request a kettle or obtain hot drinks from the 24-hour bar. [VERIFY]	Medium
Accommodation & Room Services	3. Does Leonardo Hotel Vienna Schönbrunn supply complimentary toiletries in the en-suite bathrooms?	Yes, complimentary bath amenities such as shower gel, shampoo and soap are provided in every private bathroom.	High
Accommodation & Room Services	4. Is the air-conditioning in guest rooms at Leonardo Hotel Vienna Schönbrunn individually controlled?	Yes, each room is fitted with individually adjustable air-conditioning for personalised climate control.	High
Accommodation & Room Services	5. Are accessible (barrier-free) rooms available at Leonardo Hotel Vienna Schönbrunn, and how can they be reserved?	Yes, fully accessible rooms can be reserved during online booking or by contacting reservations directly to ensure availability.	High
Accommodation & Room Services	6. Does Leonardo Hotel Vienna Schönbrunn offer family rooms or other accommodation suitable for guests with children?	Yes, spacious family rooms and suites sleeping up to four guests are available.	High
Accommodation & Room Services	7. Can hypo-allergenic pillows or special bedding be requested at Leonardo Hotel Vienna Schönbrunn?	Yes, allergy-friendly bedding can be requested in advance or through the reception team.	Low
Accommodation & Room Services	8. Is daily housekeeping included for all room categories at Leonardo Hotel Vienna Schönbrunn?	Yes, a full daily housekeeping service is provided for every room category.	Medium
Accommodation & Room Services	9. Are laundry, ironing and dry-cleaning services available for guests at Leonardo Hotel Vienna Schönbrunn?	Yes, professional laundry, ironing and same-day dry-cleaning services are offered for an additional fee.	High
Food & Beverage	1. Does Leonardo Hotel Vienna Schönbrunn serve a daily breakfast buffet?	Yes, a generous breakfast buffet is prepared every morning in the restaurant.	High
Food & Beverage	2. What are the weekday breakfast hours at Leonardo Hotel Vienna Schönbrunn?	Breakfast is served Monday to Friday from 06:30 to 10:30.	High
Food & Beverage	3. Are extended breakfast hours offered on weekends and public holidays at Leonardo Hotel Vienna Schönbrunn?	Yes, on Saturdays, Sundays and public holidays the buffet remains open until 11:00.	Medium
Food & Beverage	4. Does the breakfast buffet at Leonardo Hotel Vienna Schönbrunn include gluten-free and lactose-free options?	Yes, clearly labelled gluten-free and lactose-free items are provided each morning.	High
Food & Beverage	5. Are vegetarian or vegan selections available at the breakfast buffet of Leonardo Hotel Vienna Schönbrunn?	Yes, varied vegetarian and plant-based choices are included alongside the standard buffet spread.	Medium
Food & Beverage	6. Is the bar at Leonardo Hotel Vienna Schönbrunn open 24 hours a day?	Yes, the lobby bar operates 24 hours, serving drinks at any time.	High
Food & Beverage	7. Does the bar at Leonardo Hotel Vienna Schönbrunn serve light snacks and hot beverages throughout the day?	Yes, guests may order light snacks, coffee and tea from the bar around the clock.	Medium
Food & Beverage	8. May non-resident visitors access the bar facilities at Leonardo Hotel Vienna Schönbrunn?	Currently, external guests are welcome to use the bar subject to space availability. [VERIFY]	Low
Food & Beverage	9. Is breakfast at Leonardo Hotel Vienna Schönbrunn charged separately or included in all room rates?	Breakfast is optional and charged at €15 per person unless specifically included in the chosen rate plan.	Medium
Policies & Terms	1. What are the standard check-in and check-out times at Leonardo Hotel Vienna Schönbrunn?	Check-in begins at 15:00 and check-out is required by 12:00 noon.	High
Policies & Terms	2. Can guests request early check-in or late check-out at Leonardo Hotel Vienna Schönbrunn, and are fees applicable?	Yes, early arrival or late departure may be arranged subject to availability and a supplementary fee.	Medium
Policies & Terms	3. What cancellation conditions apply to reservations at Leonardo Hotel Vienna Schönbrunn?	Cancellation terms depend on the selected rate; flexible rates permit free cancellation until the stated deadline, while non-refundable offers carry full charges.	High
Policies & Terms	4. What is the minimum age requirement for check-in at Leonardo Hotel Vienna Schönbrunn?	The minimum age to check in is 18 years.	Medium
Policies & Terms	5. Are pets permitted at Leonardo Hotel Vienna Schönbrunn, and is there an additional charge?	Yes, pets are welcomed free of charge upon prior request.	High
