Category	Question	Answer	Frequency Level
מידע כללי	האם מלון לאונרדו בוטיק ירושלים מציע אינטרנט-אלחוטי חינם בכל שטחי המלון?	כן, אינטרנט-אלחוטי מהיר וחופשי זמין בכל אזורי המלון – בחדרים, בלובי, במרכז הכנסים ובשטחים הציבוריים.	High
מידע כללי	האם דלפק הקבלה במלון לאונרדו בוטיק ירושלים פעיל 24 שעות ביממה?	כן, דלפק הקבלה מאויש 24 שעות ביממה ומעניק שירות מלא בכל שעה.	Medium
מידע כללי	כמה חדרים וסוויטות יש במלון לאונרדו בוטיק ירושלים?	נכון לעכשיו במלון 74 חדרים וסוויטות מעוצבים, ממגוון קטגוריות אירוח בוטיק יוקרתי.	Medium
מידע כללי	אילו שפות מדבר צוות מלון לאונרדו בוטיק ירושלים?	כן, אנשי הצוות דוברים עברית, אנגלית, רוסית וערבית ומסייעים בשפות נוספות לפי הצורך.	Low
מידע כללי	האם מלון לאונרדו בוטיק ירושלים מותאם במלואו לאורחים עם מוגבלות?	כן, המבנה כולו, לרבות חדרים, אזורי שירות ומעברים, מונגש באופן מלא לאורחים עם מוגבלות.	Medium
מידע כללי	האם במלון לאונרדו בוטיק ירושלים קיימים חדרי ישיבות ואולמות אירועים מאובזרים?	כן, במלון שני חדרי ישיבות ואולם כנסים מצוידים בטכנולוגיית אודיו-וידאו מתקדמת לאירועים עסקיים ופרטיים.	Medium
מידע כללי	האם במלון לאונרדו בוטיק ירושלים עומדת לרשות האורחים ספרייה פנימית?	כן, ספרייה אינטימית עם מבחר ספרים ומקומות ישיבה עומדת לרשות האורחים במתחם הפנימי של המלון.	Low
מידע כללי	האם במלון לאונרדו בוטיק ירושלים יש חניה באתר או בקרבת מקום, וכרוכה בתשלום?	כן, חניה תת-קרקעית סמוכה זמינה בעלות של כ-80 ₪ ליום, בכפוף לזמינות ובתשלום בקבלה.	Medium
מידע כללי	האם מלון לאונרדו בוטיק ירושלים פועל על-פי סטנדרט כשרות ומציע אירוח מותאם לשומרי שבת?	כן, המטבח פועל בכשרות מלאה בפיקוח רבנות ירושלים והמלון מותאם לשומרי שבת, לרבות מעלית שבת ומפתחות אלקטרוניים מיוחדים.	Low
אירוח ושירותי חדרים	אילו סוגי חדרים זמינים להזמנה במלון לאונרדו בוטיק ירושלים?	המלון מציע שישה סוגי יחידות: חדר קומפורט, אקזקיוטיב, אקזקיוטיב גן עם ג׳קוזי, סטודיו, סוויטה וחדר נגיש.	High
אירוח ושירותי חדרים	האם בכל חדר במלון לאונרדו בוטיק ירושלים יש מכונת קפה Nespresso?	כן, בכל חדר ניצבת מכונת קפה Nespresso עם קפסולות מתחדשות מדי יום להנאת האורחים.	Medium
אירוח ושירותי חדרים	האם חדרי מלון לאונרדו בוטיק ירושלים כוללים מרפסת עם נוף לעיר העתיקה או לעיר החדשה?	כן, רוב החדרים כוללים מרפסת פרטית עם נוף לעיר החדשה או לנופי העיר העתיקה, בהתאם למיקום.	High
אירוח ושירותי חדרים	האם קיימים חדרים נגישים במלון לאונרדו בוטיק ירושלים לאורחים עם צרכים מיוחדים?	כן, קיימים חדרים נגישים המאובזרים בדלת רחבה, מקלחון מותאם, לחצני חירום וציוד נוסף לנוחות אורחים עם צרכים מיוחדים.	Medium
אירוח ושירותי חדרים	האם ניתן להזמין במלון לאונרדו בוטיק ירושלים חדר אקזקיוטיב עם ג׳קוזי פרטי?	כן, קטגוריית Executive Garden Room כוללת חצר פרטית מרווחת עם ג׳קוזי חיצוני אינטימי לשימוש בלעדי של האורחים.	Medium
אירוח ושירותי חדרים	האם חדרי מלון לאונרדו בוטיק ירושלים מציעים מצעים מכותנה מצרית וכריות היפו-אלרגניות?	כן, המיטות מצוידות במצעים מכותנה מצרית יוקרתית וניתן לקבל כריות היפו-אלרגניות על-פי בקשה.	Low
אירוח ושירותי חדרים	האם ניתן להזמין שירות חדרים במלון לאונרדו בוטיק ירושלים לאורך שעות היום והערב?	כן, שירות חדרים מפעיל תפריט מ-06:30 בבוקר ועד 23:00 בלילה, להזמנת מנות חמות וקלות לחדר.	Medium
אירוח ושירותי חדרים	האם במלון לאונרדו בוטיק ירושלים זמינות עריסות או מיטות תינוק על-פי בקשה?	כן, עריסות ומיטות תינוק זמינות ללא עלות נוספת, בהזמנה מוקדמת ובכפוף לזמינות.	Low
אירוח ושירותי חדרים	האם כל חדר במלון לאונרדו בוטיק ירושלים מצויד בטלוויזיית Smart HD וחיבור לוויֵן?	כן, בכל יחידה מותקנת טלוויזיית Smart HD עם חיבור לוויין ואפשרות סטרימינג.	Medium
מזון ומשקאות	איזו ארוחת בוקר מוגשת במלון לאונרדו בוטיק ירושלים ומהן שעות ההגשה?	ארוחת בוקר ישראלית כשרה ומגוונת מוגשת כמזנון ב-07:00-10:30 ובשבתות וחגים עד 11:00.	High
מזון ומשקאות	האם מסעדת מלון לאונרדו בוטיק ירושלים פועלת בכשרות מלאה?	כן, מסעדת המלון פועלת בכשרות מלאה בפיקוח רבנות ירושלים ומגישה תפריט ישראלי-ירושלמי עשיר.	Low
מזון ומשקאות	האם מלון לאונרדו בוטיק ירושלים מגיש ארוחת ערב חגיגית בימי שישי?	כן, בערב שבת מגישים ארוחת ערב חגיגית כשרה עם מנות מסורתיות ויין.	Low
מזון ומשקאות	האם במלון לאונרדו בוטיק ירושלים עומד לרשות האורחים ארון יינות או מרתף יין?	כן, ארון יינות ממלכתי מציע מבחר רחב של יינות ישראליים ובינלאומיים לאורחים.	Low
מזון ומשקאות	האם במלון לאונרדו בוטיק ירושלים קיימת פינת כיבוד קל הפתוחה 24/7?	כן, בלובי זמינה פינת כיבוד עצמית 24/7 הכוללת קפה, תה ומאפים קטנים ללא תשלום.	Low
